433446 National
434113 Regional
434101 Regional
433098 Regional
434554 Regional
433679 Regional
433250 Regional
432541 Regional
9897 Regional
27679 Regional
434980 Regional
432944 Regional
433829 Regional
434371 Regional
429825 Regional
435162 Regional
16047 Regional
434179 Regional
431805 Regional
431948 Regional
434669 Regional
433016 Regional
433702 Regional
434856 National
433114 Regional
434884 Regional
432795 Regional
18815 Regional
16903 Regional
434373 Regional
25220 National
432091 Regional
433552 National
433420 Regional
8237 Regional
435809 Regional
433516 Regional
433269 Regional
431051 Regional
435723 Regional
23365 Regional
434203 Regional
430069 Regional
435401 Regional
20312 Regional
434769 Regional
432947 Regional
435949 Regional
436191 Regional
429762 National
431094 Regional
431549 Regional
431228 National
23752 Regional
430553 Regional
7890 Regional
8538 Regional
7388 Regional
8833 Regional
10852 Regional
4025 Regional
3949 National
10933 Regional
9181 Regional
9529 Regional
8593 Regional
7989 Regional
14098 Regional
13215 Regional
13998 National
12482 Regional
7307 Regional
14203 Regional
15272 National
15377 Regional
14967 National
14524 Regional
12474 National
9797 National
12553 National
15379 Regional
15224 Regional
13079 National
10430 National
13728 Regional
12413 Regional
15590 National
15052 Regional
12209 Regional
14585 Regional
14974 Regional
14989 National
16152 Regional
13512 Regional
11134 Regional
14939 Regional
13925 Regional
11492 Regional
10739 Regional
12189 Regional
10856 Regional
2032 National
7414 Regional
14992 Regional
11847 National
14083 Regional
13002 Regional
13596 Regional
14042 Regional
12940 Regional
12614 National
10034 Regional
17485 National
15514 National
468 Regional
19402 National
862 Regional
18943 Regional
21054 Regional
11276 Regional
11088 Regional
12086 Regional
15760 Regional
12255 Regional
20112 National
18173 National
20132 Regional
12032 National
20220 National
20490 Regional
20672 Regional
15057 Regional
19617 Regional
9119 Regional
18072 Regional
19502 Regional
20918 Regional
15466 National
19867 Regional
10521 Regional
15702 Regional
20598 Regional
424 National
19126 National
3967 National
21148 Regional
12646 Regional
14463 Regional
21317 Regional
20734 Regional
21018 National
14323 Regional
17370 Regional
15454 Regional
10259 Regional
12187 Regional
16959 National
19959 Regional
17665 Regional
20129 National
19088 Regional
19462 Regional
21174 Regional
13760 National
20796 Regional
11038 Regional
21124 Regional
20215 Regional
517 Regional
17236 Regional
21618 National
20305 Regional
19446 Regional
20814 Regional
21242 Regional
12984 Regional
2167 Regional
19281 National
21243 Regional
23801 National
22001 National
19341 National
11353 Regional
15621 Regional
24635 National
22153 Regional
24430 Regional
21142 Regional
21086 Regional
22542 Regional
24312 Regional
14340 Regional
24153 Regional
24702 National
23806 National
24279 Regional
23687 National
22761 Regional
18919 Regional
20288 Regional
24878 Regional
20509 National
19703 Regional
17052 Regional
16099 Regional
10411 Regional
9903 Regional
19479 Regional
15445 Regional
339 National
19811 Regional
21048 Regional
20842 Regional
20897 National
14252 Regional
19907 Regional
9015 Regional
21170 Regional
20846 Regional
23012 Regional
20884 Regional
21374 Regional
22541 Regional
20478 Regional
20812 Regional
10905 Regional
13633 Regional
23720 Regional
19532 Regional
3292 Regional
24751 Regional
13300 Regional
20301 Regional
16628 National
22968 National
22664 Regional
24537 Regional
15157 Regional
20915 Regional
20610 National
25472 Regional
25010 National
23070 Regional
18975 National
22466 Regional
18385 Regional
23350 Regional
23924 National
25683 Regional
24114 Regional
22673 Regional
5578 Regional
22211 Regional
17987 Regional
24500 Regional
22677 Regional
12370 Regional
17400 Regional
24490 National
8 National
24340 Regional
25943 Regional
22069 Regional
18133 Regional
22795 Regional
25476 Regional
25011 National
24185 National
20352 National
25242 Regional
20972 Regional
6870 National
20265 Regional
18373 Regional
20465 Regional
24209 Regional
18506 National
26545 Regional
24588 Regional
26546 Regional
19499 National
16611 National
24716 National
21689 Regional
21543 National
15499 Regional
22861 Regional
23179 Regional
9854 Regional
23555 Regional
25097 National
25944 Regional
24577 Regional
22895 Regional
21489 National
26058 Regional
26934 Regional
23561 National
17023 Regional
18827 Regional
25576 National
8476 Regional
25415 Regional
13448 National
22920 Regional
26557 Regional
24442 Regional
5443 Regional
14029 Regional
24417 Regional
26414 Regional
26261 Regional
26323 Regional
21780 Regional
19517 National
24803 Regional
27475 Regional
26767 Regional
17204 Regional
25179 National
18238 Regional
16398 Regional
22679 Regional
2746 National
21138 Regional
18437 Regional
22837 Regional
21123 Regional
12342 Regional
21104 Regional
21557 Regional
26969 Regional
26416 Regional
21666 Regional
25059 Regional
23686 Regional
28090 Regional
24047 Regional
22754 Regional
7147 Regional
19823 Regional
25278 Regional
26940 Regional
22546 Regional
22807 National
26552 Regional
9728 Regional
27810 Regional
432581 National
429671 Regional
27629 Regional
26954 National
3723 Regional
429790 Regional
436514 National
28287 Regional
19700 Regional
16931 Regional
15393 Regional
21592 Regional
430339 Regional
NULL National
429771 Regional
25716 Regional
17050 Regional
431219 Regional
27419 Regional
430635 Regional
432175 Regional
430889 Regional
431712 Regional
432350 National
431004 Regional
431709 Regional
431179 Regional
24520 Regional
429625 Regional
432751 Regional
431771 National
432622 Regional
22494 Regional
431936 National
8956 Regional
432280 Regional
28094 Regional
432464 National
8778 Regional
433183 Regional
431804 Regional
430826 Regional
433224 Regional
433225 Regional
433355 Regional
433547 National
433140 Regional
433444 Regional
433519 Regional
433765 Regional
433258 Regional
432684 Regional
431867 Regional
22969 National
430753 National
434024 Regional
20246 Regional
24482 Regional
432564 Regional
433336 Regional
433504 Regional
434277 Regional
433686 Regional
431260 Regional
434344 Regional
429665 Regional
27447 Regional
25291 Regional
429819 Regional
430416 Regional
27403 Regional
429874 National
27625 Regional
27381 Regional
429730 Regional
430458 Regional
27867 National
24693 National
430595 Regional
20692 Regional
18891 National
21113 Regional
20925 National
22379 Regional
16779 National
17978 Regional
19658 Regional
20717 Regional
1999 National
12509 Regional
4091 Regional
18820 Regional
18550 Regional
15276 Regional
13339 National
17315 National
4483 Regional
16131 Regional
8773 Regional
14229 Regional
11760 Regional
7718 Regional
6703 National
5026 National
1492 National
767 National
5265 National
5866 National
3836 National
3645 National
4488 National
511 National
3563 Regional
1823 National
3535 National
4553 Regional
1017 National
4797 Regional
6548 National
5433 National
6616 Regional
21814 Regional
16489 Regional
9756 Regional
13669 National
10261 Regional
20473 Regional
3074 Regional
20778 Regional
19669 Regional
22058 Regional
18763 Regional
21182 National
21356 Regional
14246 National
20126 Regional
18335 National
18341 Regional
12510 Regional
23444 Regional
20081 National
22707 National
24171 National
7843 National
23362 Regional
15740 Regional
16151 National
1401 National
8354 National
18759 Regional
9383 Regional
12127 National
14590 National
18248 Regional
22680 Regional
23589 Regional
14920 Regional
19868 National
17825 Regional
19415 Regional
15691 Regional
20703 Regional
22656 National
15411 Regional
430280 Regional
27516 Regional
27849 Regional
23258 Regional
430459 Regional
24511 Regional
430515 Regional
430157 National
430174 National
28269 Regional
7247 National
9157 Regional
7579 Regional
8080 Regional
6139 Regional
10685 Regional
9625 Regional
9914 Regional
10333 National
10810 Regional
8037 Regional
2621 Regional
10789 Regional
13017 Regional
11355 National
8785 National
13774 National
14388 Regional
6436 Regional
10941 Regional
5629 National
16830 National
13464 National
1868 National
